Date,GDP
01/01/2010,84.10
01/02/2010,85.20
01/03/2010,85.80
01/04/2010,85.80
01/05/2010,86.10
01/06/2010,86.30
01/07/2010,86.60
01/08/2010,86.80
01/09/2010,86.90
01/10/2010,87.10
01/11/2010,87.00
01/12/2010,86.20
01/01/2011,86.70
01/02/2011,87.10
01/03/2011,87.60
01/04/2011,86.80
01/05/2011,87.60
01/06/2011,87.50
01/07/2011,87.80
01/08/2011,87.50
01/09/2011,87.60
01/10/2011,87.20
01/11/2011,88.10
01/12/2011,88.30
01/01/2012,88.40
01/02/2012,88.10
01/03/2012,88.40
01/04/2012,88.00
01/05/2012,89.00
01/06/2012,87.60
01/07/2012,89.20
01/08/2012,89.70
01/09/2012,88.80
01/10/2012,89.20
01/11/2012,89.30
01/12/2012,89.10
01/01/2013,89.30
01/02/2013,89.90
01/03/2013,89.80
01/04/2013,90.00
01/05/2013,90.40
01/06/2013,90.60
01/07/2013,90.90
01/08/2013,91.20
01/09/2013,91.20
01/10/2013,91.80
01/11/2013,91.80
01/12/2013,91.60
01/01/2014,92.00
01/02/2014,92.40
01/03/2014,92.90
01/04/2014,92.80
01/05/2014,93.10
01/06/2014,93.30
01/07/2014,93.60
01/08/2014,93.60
01/09/2014,93.80
01/10/2014,94.10
01/11/2014,94.20
01/12/2014,94.30
01/01/2015,94.40
01/02/2015,94.60
01/03/2015,94.80
01/04/2015,95.30
01/05/2015,95.20
01/06/2015,95.30
01/07/2015,95.70
01/08/2015,95.40
01/09/2015,95.70
01/10/2015,96.10
01/11/2015,96.10
01/12/2015,96.30
01/01/2016,96.30
01/02/2016,96.60
01/03/2016,96.40
01/04/2016,97.00
01/05/2016,96.70
01/06/2016,96.80
01/07/2016,96.90
01/08/2016,97.00
01/09/2016,97.30
01/10/2016,97.30
01/11/2016,97.50
01/12/2016,98.00
01/01/2017,98.20
01/02/2017,98.00
01/03/2017,98.10
01/04/2017,98.20
01/05/2017,98.50
01/06/2017,98.60
01/07/2017,98.70
01/08/2017,98.90
01/09/2017,99.10
01/10/2017,99.00
01/11/2017,99.30
01/12/2017,99.40
01/01/2018,99.50
01/02/2018,99.30
01/03/2018,99.20
01/04/2018,99.40
01/05/2018,99.70
01/06/2018,99.90
01/07/2018,100.30
01/08/2018,100.40
01/09/2018,100.40
01/10/2018,100.70
01/11/2018,100.80
01/12/2018,100.50
01/01/2019,101.00
01/02/2019,101.30
01/03/2019,101.40
01/04/2019,101.00
01/05/2019,101.20
01/06/2019,101.40
01/07/2019,101.70
01/08/2019,101.60
01/09/2019,101.60
01/10/2019,101.90
01/11/2019,101.50
01/12/2019,101.50
01/01/2020,101.60
01/02/2020,101.30
01/03/2020,94.00
01/04/2020,76.40
01/05/2020,78.80
01/06/2020,86.00
01/07/2020,92.20
01/08/2020,94.30
01/09/2020,95.50
01/10/2020,96.30
01/11/2020,94.20
01/12/2020,95.10
01/01/2021,92.50
01/02/2021,93.20
01/03/2021,95.40
01/04/2021,97.50
01/05/2021,98.10
01/06/2021,99.10
01/07/2021,99.10
